user_id,full_name,pan,aadhaar,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment,user_id_clean,record_duplicate,full_name_clean,pan_clean,aadhaar_clean,dob_clean,city_clean,state_clean,monthly_income_clean,occupation_clean,signup_timestamp_clean,kyc_status_clean,risk_segment_clean
USR16112,Dhriti Deshmukh,SEJAA8194O,715658320763,06/04/1967 12:14 AM,Bombay,Maharashtra,35119,Retired,2025-12-02 02:18:16,Done,LOW,USR16112,False,Dhriti Deshmukh,SEJAA8194O,715658320763,1967-04-06,Mumbai,Maharashtra,35119.0,Retired,2025-12-02 02:18:16,DONE,LOW
USR17216,Megha Jani,QT0ZZ5561X,023412025028,,Lucknow,Uttar Pradesh,80907,Freelancer,01-31-2024,Verified,medium,USR17216,False,Megha Jani,,023412025028,,Lucknow,Uttar Pradesh,80907.0,Freelancer,2024-01-31 00:00:00,VERIFIED,MEDIUM
USR 45454,PANINI LAL,QCNTL9489O,2781 6299 9816,,kolkata,West Bengal,"₹11,214",Farmer,2026-01-30 23:57:18,Pending,High,USR45454,False,Panini Lal,QCNTL9489O,278162999816,,Kolkata,West Bengal,11214.0,Farmer,2026-01-30 23:57:18,PENDING,HIGH
USR46189,Jack Parikh,RRVUI4059Q,0667 8032 7731,,Amritsar,Punjab,27.3k,Student,09-04-2025,VERIFIED,low,USR46189,False,Jack Parikh,RRVUI4059Q,066780327731,,Amritsar,Punjab,27300.0,Student,2025-09-04 00:00:00,VERIFIED,LOW
USR85256,Eta Ravi,ygvoi9236w,176258817110,1969-02-19 08:25:23,delhi,Delhi,"INR 24,705",Salaried,03-Feb-2026,APPROVED,LOW,USR85256,False,Eta Ravi,YGVOI9236W,176258817110,1969-02-19,Delhi,Delhi,24705.0,Salaried,2026-02-03 00:00:00,APPROVED,LOW
USR 20918,Vanya Chad,jdgoh0074y,894463789078,20/04/1961,BLR,Karnataka,14124,Self Employed,25/04/2024,REJECTED,MEDIUM,USR20918,False,Vanya Chad,JDGOH0074Y,894463789078,1961-04-20,Bengaluru,Karnataka,14124.0,Self Employed,2024-04-25 00:00:00,REJECTED,MEDIUM
usr22494,NIRJA SHETTY,JWZVO4240H,5277136337802,05-Sep-1990,Chennai,Tamil Nadu,16160,Retired,,Reject,medium,USR22494,False,Nirja Shetty,JWZVO4240H,,1990-09-05,Chennai,Tamil Nadu,16160.0,Retired,,REJECTED,MEDIUM
USR34742,Ati Dash,OOQCG9609N,985048780290,12-20-1962,Jaipur,Rajasthan,43738,Unemployed,07-25-2025,APPROVED,high,USR34742,False,Ati Dash,OOQCG9609N,985048780290,1962-12-20,Jaipur,Rajasthan,43738.0,Unemployed,2025-07-25 00:00:00,APPROVED,HIGH
USR83137,ria kale,,4902616251043,09-Sep-2005,Jaipur,Rajasthan,25151,Freelancer,03/04/2024,Pending,low,USR83137,False,Ria Kale,,,2005-09-09,Jaipur,Rajasthan,25151.0,Freelancer,2024-04-03 00:00:00,PENDING,LOW
USR99161,jalsa malhotra,QLSKS5105S,944300371193,20/05/1963 05:27 AM,Jalandhar,Punjab,-8083,Retired,,Rejected,Low,USR99161,False,Jalsa Malhotra,QLSKS5105S,944300371193,1963-05-20,Jalandhar,Punjab,,Retired,,REJECTED,LOW
