merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size,merchant_id_clean,merchant_name_clean,mcc_clean,merchant_category_clean,business_type_clean,city_clean,state_clean,onboarding_date_clean,settlement_account_clean,settlement_account_type,merchant_status_clean,declared_avg_ticket_size_clean
mch2849,"BHAVSAR, KOTA AND ZACHARIA",MCC-7011,hotel_lodging,Private Limited,Ludhiana,Punjab,09-23-2025,,Inactive,"INR 2,432.18",MCH2849,"Bhavsar, Kota And Zacharia",,HOSPITALITY,PRIVATE_LIMITED,Ludhiana,Punjab,2025-09-23 00:00:00,,MISSING,INACTIVE,2432.18
MCH4314,Deshmukh Ltd,5699,Apparel,PRIVATE_LIMITED,Jalandhar,Punjab,,3021439858,I,986.05,MCH4314,Deshmukh Ltd,5699.0,CLOTHING,PRIVATE_LIMITED,Jalandhar,Punjab,,3021439858,NUMERIC_ACCOUNT,INACTIVE,986.05
MCH1986,"Bains, Chanda and Gh0sh",5311,Retail,individual,Jalandhar,Punjab,10/01/2026,,A,"INR 1,427.52",MCH1986,"Bains, Chanda And Gh0Sh",5311.0,RETAIL,INDIVIDUAL,Jalandhar,Punjab,,,MISSING,ACTIVE,1427.52
mch3899,  Goswami-Bath  ,4131,Transportation,Sole Proprietor,Hyderabad,Telangana,14-Jan-2023,,ACTIVE,-1271.48,MCH3899,Goswami-Bath,4131.0,TRANSPORTATION,SOLE_PROPRIETOR,Hyderabad,Telangana,2023-01-14 00:00:00,,MISSING,ACTIVE,
MCH4859,VASA-RAJU,5812,Restaurant,SOLE_PROPRIETOR,Hyd,Telangana,1742180385,XXXX9523,A,Rs. 214,MCH4859,Vasa-Raju,5812.0,RESTAURANT,SOLE_PROPRIETOR,Hyderabad,Telangana,2025-03-17 02:59:45,XXXX9523,MASKED_ACCOUNT,ACTIVE,214.0
MCH6848,Dora LLC,5311,Department Store,PARTNERSHIP,Chennai,Tamil Nadu,1758406998,DUSD7272281625368,Active,"₹1,272.49",MCH6848,Dora Llc,5311.0,DEPARTMENT STORE,PARTNERSHIP,Chennai,Tamil Nadu,2025-09-20 22:23:18,DUSD7272281625368,ALPHANUMERIC_ACCOUNT,ACTIVE,1272.49
MCH9933,Bali-Zachariah,5411,Grocery Stores,SOLE_PROPRIETOR,JPR,Rajasthan,07/06/2023,TWPF4694358713410,Live,"Rs. 1,549",MCH9933,Bali-Zachariah,5411.0,GROCERY,SOLE_PROPRIETOR,Jaipur,Rajasthan,2023-07-06 00:00:00,TWPF4694358713410,ALPHANUMERIC_ACCOUNT,ACTIVE,1549.0
MCH-2637,Joshi Group,5999,Misc Retail,PARTNERSHIP,chennai,Tamil Nadu,20/02/2025,,Enabled,-760.41,MCH2637,Joshi Group,5999.0,MISCELLANEOUS RETAIL,PARTNERSHIP,Chennai,Tamil Nadu,2025-02-20 00:00:00,,MISSING,ACTIVE,
MCH8708,"Mukherjee, Sami and Purohit",5999,Retail Other,Sole Proprietor,Hyderabad,Telangana,28-Jan-2026,,SUSPENDED,2919.92,MCH8708,"Mukherjee, Sami And Purohit",5999.0,MISCELLANEOUS RETAIL,SOLE_PROPRIETOR,Hyderabad,Telangana,2026-01-28 00:00:00,,MISSING,SUSPENDED,2919.92
MCH 2430,Bora Group,4814,TELECOM,INDIVIDUAL,Amritsar,Punjab,2026-01-27 15:52:53,2955352677,A,827.43,MCH2430,Bora Group,4814.0,TELECOM,INDIVIDUAL,Amritsar,Punjab,2026-01-27 15:52:53,2955352677,NUMERIC_ACCOUNT,ACTIVE,827.43
